Ancyrochitina sp,Givetian,,Algeria,"  Taugourdeau,P.         Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.",1963,"Taugourdeau,P.
","Taugourdeau,P.                   (1963)
                  Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.  [ Etude de quelques especes Critiques de Chitino Zoaires de la Region d'Edjele et Complements a faune Locale ]                   Revue de Micropal©ontologie  
                   Vol. 6                    # 3                  P.   130-  144"
Ancyrochitina sp,Siegenian,,France(Manche),"  Doubinger,J.         Palynologic-Planktonic study of some Lower Devonian (Siegenian) samples from the Cotentin.",1963,"Doubinger,J.
","Doubinger,J.                   (1963)
                  Palynologic-Planktonic study of some Lower Devonian (Siegenian) samples from the Cotentin.  [ Etude palyno-Planctologique de quelques Echantillons du Devonien Inferieur (Siegenien) du Cotentin. ]                   Bulletin du Service de la Carte Geologique d'Alsace Lorraine  
                   Vol. 16                    # 4                  P.   261-  273"
Ancyrochitina sp,Nd,,Nd,"  Combaz,A.         Palynofacies.",1964,"Combaz,A.
","Combaz,A.                   (1964)
                  Palynofacies.  [ Les palynofacies. ]                   Revue de Micropal©ontologie  
                   Vol. 7                    # 3                  P.   205-  218"
Ancyrochitina sp,Middle Devonian,Late Devonian,France(Manche),"  Doubinger,J. et al.         Discovery of micro-organisms in the Red Series of Monmartin, (Manche), attribution of this series to the Middle or Upper Devonian.",1964,"Doubinger,J.;Poncet,J.
","Doubinger,J. et al.                   (1964)
                  Discovery of micro-organisms in the Red Series of Monmartin, (Manche), attribution of this series to the Middle or Upper Devonian.  [ Decouverte de Microorganismes dans la Serie Rouge de Montmartin(Manche).Attribution de Cette Serie au Devonien Moyen Ou Supereur. ]                   Comptes Rendus de l'Acad©mie des Sciences, S©rie II  
                   Vol. 258                                     P.  1004- 1006"
Ancyrochitina sp,Silurian,,Algeria,"  Taugourdeau,P. et al.         Dimorphism in the chitinozoans",1964,"Taugourdeau,P.;Magloire,L.
","Taugourdeau,P. et al.                   (1964)
                  Dimorphism in the chitinozoans  [ Le Dimorphisme chez les Chitinozoaires ]                   Compte-Rendu Sommaire et Bulletin de la Soci©t© G©ologique de France  
                   Vol. 6                                     P.   674-  677"
Ancyrochitina sp,Gedinnian,Coblenzian,Romania,"  Raileanu,G. et al.         Study of the Devonian in the Drilling at Mangalia.",1964,"Raileanu,G.;Iordan,M.;Mehmed-Danet,N.A.;Beju,D.
","Raileanu,G. et al.                   (1964)
                  Study of the Devonian in the Drilling at Mangalia.  [ Studiul Devonianului din Forajul de la Mangalia. ]                   Dari de Seama ale Sedintelor  
                   Vol. 52                    # 1                  P.   323-  339"
Ancyrochitina sp,Middle Ordovician,,Oklahoma,"  Taugourdeau,P.         Ordovician chitinozoans of the USA; Comparison with ancient faunas.",1965,"Taugourdeau,P.
","Taugourdeau,P.                   (1965)
                  Ordovician chitinozoans of the USA; Comparison with ancient faunas.  [ Chitinozoaires de l'Ordovicien des U.S.A.; Compari Son avec les faunes de l'Ancien Monde. ]                   Revue de l'Institut Francais du Petrole et Annales des Combustibles Liquides  
                   Vol. 20                    # 3                  P.   463-  484"
Ancyrochitina sp,Caradocian,,Canada(Quebec),"  Jansonius,J.         Systematics of the chitinozoa.",1966,"Jansonius,J.
","Jansonius,J.                   (1966)
                  Systematics of the chitinozoa.                   Review of Palaeobotany and Palynology  
                   Vol. 1                                     P.   345-  359"
Ancyrochitina sp,Frasnian,,Canada(NWT),"  Jansonius,J.         Systematics of the chitinozoa.",1966,"Jansonius,J.
","Jansonius,J.                   (1966)
                  Systematics of the chitinozoa.                   Review of Palaeobotany and Palynology  
                   Vol. 1                                     P.   345-  359"
Ancyrochitina sp,Late Llandoverian,Early Gedinnian,Spain,"  Cramer,F.H.         Chitinozoans of a composite section of Upper Lland overian to Basal Lower Gedinnian sediments in Nort Hern Leon, Spain. a Prelimnary report.",1966,"Cramer,F.H.
","Cramer,F.H.                   (1966)
                  Chitinozoans of a composite section of Upper Lland overian to Basal Lower Gedinnian sediments in Nort Hern Leon, Spain. a Prelimnary report.                   Bulletin de la Soci©t© Belge de G©ologie, de Pal©ontologie et d'Hydrologie  
                   Vol. 75                    # 1                  P.    69-  129"
Ancyrochitina sp,Frasnian,,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Gothlandian,,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Gothlandian,,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Devonian,,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Devonian,,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Devonian,,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Devonian,,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Silurian,Devonian,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Silurian,Devonian,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Silurian,Devonian,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Silurian,Devonian,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Silurian,Devonian,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Ancyrochitina sp,Late Gothlandian,Early Devonian,France,"  Graindor,M.-J. et al.         Chitinozoans of the Silurian-Devonian in the northern Massif Armoricain",1966,"Graindor,M.-J.;Robardet,M.;Taugourdeau,P.
","Graindor,M.-J. et al.                   (1966)
                  Chitinozoans of the Silurian-Devonian in the northern Massif Armoricain  [ Chitinozoaires du Siluro-Devonien dans le Nord du Massf Armoricain ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 85                                     P.   337-  343"
Ancyrochitina sp,Early Devonian,,Romania,"  Beju,D.         Some spores, acritarchs and chitinozoans of Lower Devonian age of the Moesian Platform (Rumania)",1967,"Beju,D.
","Beju,D.                   (1967)
                  Some spores, acritarchs and chitinozoans of Lower Devonian age of the Moesian Platform (Rumania)  [ Quelques spores, acritarches et chitinozoaires d'ўge d©vonien inf©rieur de la plate-forme moesienne (Roumanie). ]                   Review of Palaeobotany and Palynology  
                   Vol. 5                    # 1                  P.    39-   49"
Ancyrochitina sp,Late Devonian,,Canada(Ontario),"  Deunff,J.         Presence of acritarchs in a Devonian series of Lake Huron, (Canada).",1967,"Deunff,J.
","Deunff,J.                   (1967)
                  Presence of acritarchs in a Devonian series of Lake Huron, (Canada).  [ Presence d'Acritarches dans une Serie Devonienne D u Lac Huron(Canada) ]                   Bulletin de la Soci©t© G©ologique de France, 7e s©rie  
                                     # 6                  P.   258-  260"
Ancyrochitina sp,Late Siegenian,,France(Rhone),"  Moreau-Benoit,A.         On some chitinozoans from the Lower Devonian of Anjou.",1967,"Moreau-Benoit,A.
","Moreau-Benoit,A.                   (1967)
                  On some chitinozoans from the Lower Devonian of Anjou.  [ Sur quelques Chitinozoaires du Devonien Inferieur de l'Anjou. ]                   Cahiers de Micropal©ontologie  
                                     # 7                  P.     1-   10"
Ancyrochitina sp,Ulsterian,,Tennessee,"  Miller,T.H.         Techniques for processing and photographing chitinozoans",1967,"Miller,T.H.
","Miller,T.H.                   (1967)
                  Techniques for processing and photographing chitinozoans                   University of Kansas,Paleontological Contributions  
                                     # 21                  P.     1-   10"
Ancyrochitina sp,Middle Frasnian,,Missouri,"  Urban,J.B.         Palynologic studies of the Devonian",1968,"Urban,J.B.
","Urban,J.B.                   (1968)
                  Palynologic studies of the Devonian                   Southwest Center for Advanced Studies,Annual Report.Geoscience Division,1967-1968  
                                                      P.    42-   46"
Ancyrochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Ancyrochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Ancyrochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Ancyrochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Ancyrochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Ancyrochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Ancyrochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Ancyrochitina sp,Middle Devonian,,Brazil(Para),"  Boekel,N.M.Van         Devonian microfossils of Rio Tapajos, Para 2. Chit Inozoa",1968,"Boekel,N.M.Van
","Boekel,N.M.Van                   (1968)
                  Devonian microfossils of Rio Tapajos, Para 2. Chit Inozoa  [ Microfosseis Devonianos do Rio Tapajos, Para 2. Ch Itinozoa. ]                   Notas Preliminares e Estudos - Divisao de Geologia e Mineralogia, Departamento Nacional da Produao Mineral  
                                     # 146                  P.     1-   19"
Ancyrochitina sp,Ordovician,Silurian,Baltic,"  Eisenack,A.         Chitinozoa of the Baltic Region.",1968,"Eisenack,A.
","Eisenack,A.                   (1968)
                  Chitinozoa of the Baltic Region.  [ њber Chitinozoen des baltischen Gebietes. ]                   Pal¤eontographica Abteilung A  
                   Vol. 131                    # 5                  P.   137-  198"
Ancyrochitina sp,Late Eifelian,Givetian,Spain,"  Cramer,F.H.         Plant spores from the Eifelian to Givetian Gosseletia Sandstone Formation near Canadas, Asturias, Spain.",1969,"Cramer,F.H.
","Cramer,F.H.                   (1969)
                  Plant spores from the Eifelian to Givetian Gosseletia Sandstone Formation near Canadas, Asturias, Spain.                   Pollen et Spores  
                   Vol. 11                    # 2                  P.   425-  447"
Ancyrochitina sp,Early Gothlandian,,Pennsylvania,"  Cramer,F.H.         Possible implications for Silurian paleogeography from phytoplankton assemblages of the Rose Hill and Tuscarora Formations of Pennsylvania.",1969,"Cramer,F.H.
","Cramer,F.H.                   (1969)
                  Possible implications for Silurian paleogeography from phytoplankton assemblages of the Rose Hill and Tuscarora Formations of Pennsylvania.                   Journal of Paleontology  
                   Vol. 43                    # 2                  P.   485-  491"
