Eisenackitina sp,Caradocian,Pridolian,USSR(Buryat ASSR),"  Katyukha,Y.P. et al.         On the age of the Mangatol and Dabanzhalga Suites and the Oka series in the eastern Saxan Region",1983,"Katyukha,Y.P.;Rogachev,A.M.
","Katyukha,Y.P. et al.                   (1983)
                  On the age of the Mangatol and Dabanzhalga Suites and the Oka series in the eastern Saxan Region                   Sibirskoe Otdelenie, Trudy Institut Geologii i Geofiziki, Akademiya Nauk SSSR. (Novosibirsk)  
                   Vol. 24                    # 5                  P.    68-   78"
Eisenackitina sp,Early Devonian,,USSR(Buryat ASSR),"  Katyukha,Y.P. et al.         On the age of the Mangatol and Dabanzhalga Suites and the Oka series in the eastern Saxan Region",1983,"Katyukha,Y.P.;Rogachev,A.M.
","Katyukha,Y.P. et al.                   (1983)
                  On the age of the Mangatol and Dabanzhalga Suites and the Oka series in the eastern Saxan Region                   Sibirskoe Otdelenie, Trudy Institut Geologii i Geofiziki, Akademiya Nauk SSSR. (Novosibirsk)  
                   Vol. 24                    # 5                  P.    68-   78"
Eisenackitina sp,Wenlockian,Early Ludlovian,Greenland,"  Armstrong,H.A. et al.         Silurian palynomorphs from the Chester Bjerg Formation, Hall Land, western North Greenland",1984,"Armstrong,H.A.;Dorning,K.J.
","Armstrong,H.A. et al.                   (1984)
                  Silurian palynomorphs from the Chester Bjerg Formation, Hall Land, western North Greenland                   Grиnlands Geologiske Undersиgelse, Rapport  
                                     # 121                  P.    97-  103"
Eisenackitina sp,Caradocian,Late Ashgillian,Canada(Eastern Offshore),"  Jenkins,W.A.M.         Ordovician rocks in the Eastcan et al. Freydis B-87 and other wells in offshore Atlantic Canada.",1984,"Jenkins,W.A.M.
","Jenkins,W.A.M.                   (1984)
                  Ordovician rocks in the Eastcan et al. Freydis B-87 and other wells in offshore Atlantic Canada.                   Canadian Journal of Earth Sciences  
                   Vol. 21                    # 7                  P.   864-  868"
Eisenackitina sp,Ludlovian,Pridolian,Czechoslovakia,"  Paris,F. et al.         New species of chitinozoans to the Ludlow-Pridoli boundary, Czechoslovakia",1984,"Paris,F.;Kriz,J.
","Paris,F. et al.                   (1984)
                  New species of chitinozoans to the Ludlow-Pridoli boundary, Czechoslovakia  [ Nouvelles especes de Chitinozoaires a la limite Ludlow-Pridoli en Tchecoslovaquie ]                   International Palynological Conference, 6th, Calgary. (Volume of Abstracts. J.Utting, editor)  
                                                      P.   124-  124"
Eisenackitina sp,Siegenian,Emsian,W.Germany(N.Rhine),"  Eschghi,I. et al.         Stratigraphy and Palaogeography of the Siegenian and Emsian of the Aachen-Ahrtal Region",1984,"Eschghi,I.;Kasig,W.
","Eschghi,I. et al.                   (1984)
                  Stratigraphy and Palaogeography of the Siegenian and Emsian of the Aachen-Ahrtal Region  [ stratigraphie und Palaeogeographie des Siegeniums und Emsiums Zwischen Aachen und dem Ahrtal(Link Sreinisches Schiefergebirge Deutschland) ]                   Belgische Geologische Dienst-Professional Paper  
                   Vol. 3                    # 216                  P.     1-   15"
Eisenackitina sp,Siegenian,Emsian,W.Germany(N.Rhine),"  Eschghi,I. et al.         Stratigraphy and Palaogeography of the Siegenian and Emsian of the Aachen-Ahrtal Region",1984,"Eschghi,I.;Kasig,W.
","Eschghi,I. et al.                   (1984)
                  Stratigraphy and Palaogeography of the Siegenian and Emsian of the Aachen-Ahrtal Region  [ stratigraphie und Palaeogeographie des Siegeniums und Emsiums Zwischen Aachen und dem Ahrtal(Link Sreinisches Schiefergebirge Deutschland) ]                   Belgische Geologische Dienst-Professional Paper  
                   Vol. 3                    # 216                  P.     1-   15"
Eisenackitina sp,Late Telychian,Early Sheinwoodian,England(Shropshire),"  Mabillard,J.E. et al.         Microfossil distribution across the Base of the Wenlockian series in the type area",1985,"Mabillard,J.E.;Aldridge,R.J.
","Mabillard,J.E. et al.                   (1985)
                  Microfossil distribution across the Base of the Wenlockian series in the type area                   Palaeontology  
                   Vol. 28                    # 1                  P.    89-  100"
Eisenackitina sp,Pridolian,,Libya,"  Jaglin,J.-C.         Chitinozoan new species from the Pridoli of Libya.",1986,"Jaglin,J.-C.
","Jaglin,J.-C.                   (1986)
                  Chitinozoan new species from the Pridoli of Libya.  [ Nouvelles especes de Chitinozoaires du Pridoli de Libye ]                   Revue de Micropal©ontologie  
                   Vol. 29                    # 1                  P.    44-   54"
Eisenackitina sp,Caradocian,Ashgillian,Saudi Arabia,"  McClure,H.A.         Chitinozoan and acritarch assemblages stratigraphy and biogeography of the Early Palaeozoic of Northw West Arabia",1988,"McClure,H.A.
","McClure,H.A.                   (1988)
                  Chitinozoan and acritarch assemblages stratigraphy and biogeography of the Early Palaeozoic of Northw West Arabia                   Review of Palaeobotany and Palynology  
                   Vol. 56                    # 1                  P.    41-   60"
Eisenackitina sp,Llandoverian,,China(Szechwan),"  Fang,X. et al.         Silurian microflora and chitinozoa in Guanyinqiao Qijiang County Sichuan Province and their stratigraphic significance",1988,"Fang,X.;Hou,J.
","Fang,X. et al.                   (1988)
                  Silurian microflora and chitinozoa in Guanyinqiao Qijiang County Sichuan Province and their stratigraphic significance  [ In Chinese with English summary ]                   Professional Papers of Stratigraphy and Palaeontology,(Diceng Gushengwu Lunwen Ji). Chinese Academy of Geological Sciences  
                                     # 20                  P.   198-  209"
Eisenackitina sp,Silurian,,Morocco,"  Rahmani-Antari,K.         Palynological study and evaluation of the Thermal Alteration Index, (TAI), of the Paleozoic Section of Well Dot 1 (Doukkala Basin, Central-West Morocco).",1990,"Rahmani-Antari,K.
","Rahmani-Antari,K.                   (1990)
                  Palynological study and evaluation of the Thermal Alteration Index, (TAI), of the Paleozoic Section of Well Dot 1 (Doukkala Basin, Central-West Morocco).  [ Etude palynologique et evaluation de l'Indice d'Alteration Thermique du Paleozoique du Forage Dot 1 (Bassin des Doukkala Centre-Ouest Moarocain) ]                   Review of Palaeobotany and Palynology  
                   Vol. 66                    # 3                  P.   211-  227"
Eisenackitina sp,Late Gothlandian,,Canada(Nova Scotia),"  Blaise,J. et al.         The Upper Silurian Beds of Bear River, (Meguma Zone, Nova Scotia); fauna, biostratigraphy and paleogeographical.",1991,"Blaise,J.;Bouyx,E.;Goujet,D.;Le Menn,J.;Paris,F.
","Blaise,J. et al.                   (1991)
                  The Upper Silurian Beds of Bear River, (Meguma Zone, Nova Scotia); fauna, biostratigraphy and paleogeographical.  [ Le Silurien Superieur de Bear River (Zone de Meguma, nouvella Ecosse) faune,Biostratigraphie et Implications paleogeographique ]                   Geobios  
                   Vol. 24                    # 2                  P.   167-  182"
Eisenackitina sp,Early Sheinwoodian,,Czechoslovakia(Bohemia),"  Dufka,P.         Lower Silurian chitinozoans of the Prague Basin (Barrandian, Czechoslovakia)-Preliminary results.",1992,"Dufka,P.
","Dufka,P.                   (1992)
                  Lower Silurian chitinozoans of the Prague Basin (Barrandian, Czechoslovakia)-Preliminary results.  [ Chitinozoaires du Silurian Inferieur du Bassin de Prague (Barrandian,Tchecoslovaque) Resultats preliminares ]                   Revue de Micropal©ontologie  
                   Vol. 35                    # 2                  P.   117-  126"
Eisenackitina sp,Late Llandoverian,,Scotland(Dumfries),"  White,D.E. et al.         Biostratigraphy of Late Llandovery (Telychian) and Wenlock Turbiditic sequences in the southwest Southern Uplands, Scotland.",1992,"White,D.E.;Barron,H.F.;Barnes,R.P.;Lintern,B.C.
","White,D.E. et al.                   (1992)
                  Biostratigraphy of Late Llandovery (Telychian) and Wenlock Turbiditic sequences in the southwest Southern Uplands, Scotland.                   Transactions of the Royal Society of Edinburgh.Earth Sciences  
                   Vol. 82                    # 4                  P.   297-  322"
Eisenackitina sp,Late Tremadocian,,China(Hopei),"  Wang,X.-F. et al.         Earliest Ordovician chitinozoans from the eastern Yangtze Gorges.",1992,"Wang,X.-F.;Chen,X.-H.
","Wang,X.-F. et al.                   (1992)
                  Earliest Ordovician chitinozoans from the eastern Yangtze Gorges.  [ In Chinese with English summary ]                   Acta Micropalaeontologica Sinica (Weiti Gushengwu Xuebao)  
                   Vol. 9                    # 3                  P.   283-  290"
Eisenackitina sp,Middle Llandoverian,,USSR(Baltic),"  Nestor,V.         Chitinozoan diversity dynamics in the East Baltic Silurian.",1992,"Nestor,V.
","Nestor,V.                   (1992)
                  Chitinozoan diversity dynamics in the East Baltic Silurian.  [ Dinamika Raznoobraziya Khitinozoi v Silure Pribaltiki ]                   Eesti NSV Teaduste Akadeemia Toimetised,Geologia  
                   Vol. 41                    # 4                  P.   215-  224"
Eisenackitina sp,Late Lochkovian,Emsian,Canada(Quebec),"  Achab,A. et al.         Chitinozoan assemblage from the third order transgressive-regressive cycles of the Upper Gaspe Limestones (Lower Devonian of eastern Canada)",1997,"Achab,A.;Asselin,E.;Lavoie,D.;Mussard,J.M.
","Achab,A. et al.                   (1997)
                  Chitinozoan assemblage from the third order transgressive-regressive cycles of the Upper Gaspe Limestones (Lower Devonian of eastern Canada)                   Review of Palaeobotany and Palynology  
                   Vol. 97                    # 1                  P.   155-  175"
Eisenackitina sp,Pragian,Emsian,Canada(Quebec),"  Achab,A. et al.         Chitinozoan assemblage from the third order transgressive-regressive cycles of the Upper Gaspe Limestones (Lower Devonian of eastern Canada)",1997,"Achab,A.;Asselin,E.;Lavoie,D.;Mussard,J.M.
","Achab,A. et al.                   (1997)
                  Chitinozoan assemblage from the third order transgressive-regressive cycles of the Upper Gaspe Limestones (Lower Devonian of eastern Canada)                   Review of Palaeobotany and Palynology  
                   Vol. 97                    # 1                  P.   155-  175"
Eisenackitina sp,Late Lochkovian,Emsian,Canada(Quebec),"  Achab,A. et al.         Chitinozoan assemblage from the third order transgressive-regressive cycles of the Upper Gaspe Limestones (Lower Devonian of eastern Canada)",1997,"Achab,A.;Asselin,E.;Lavoie,D.;Mussard,J.M.
","Achab,A. et al.                   (1997)
                  Chitinozoan assemblage from the third order transgressive-regressive cycles of the Upper Gaspe Limestones (Lower Devonian of eastern Canada)                   Review of Palaeobotany and Palynology  
                   Vol. 97                    # 1                  P.   155-  175"
Eisenackitina sp,Scythian,,USSR(Moldavian SSR),"  Vaida,M. et al.         Palynological study of cores from the borehole 1 Liman (Scythia Platform, Moldavia)",1997,"Vaida,M.;Seghedi,A.
","Vaida,M. et al.                   (1997)
                  Palynological study of cores from the borehole 1 Liman (Scythia Platform, Moldavia)                   Neues Jahrbuch fмr Geologie und Pal¤ontologie. Monatshefte  
                   Vol. 1997                    # 7                  P.   399-  408"
Eisenackitina sp,Late Ordovician,,Nevada,"  Finney,S.C. et al.         Late Ordovician mass extinction: A new perspective from stratigraphic sections in Central Nevada.",1999,"Finney,S.C.;Berry,W.B.N.
","Finney,S.C. et al.                   (1999)
                  Late Ordovician mass extinction: A new perspective from stratigraphic sections in Central Nevada.                   Geology  
                   Vol. 27                    # 3                  P.   215-  218"
Eisenackitina sp,Middle Wenlockian,Late Wenlockian,Wales(Powys),"  Verniers,J.         Calibration of Chitinozoa versus graptolite biozonation in the Wenlock of Builth Wells district (Wales, U.K), compared with other areas in Avalonia and Baltica.",1999,"Verniers,J.
","Verniers,J.                   (1999)
                  Calibration of Chitinozoa versus graptolite biozonation in the Wenlock of Builth Wells district (Wales, U.K), compared with other areas in Avalonia and Baltica.                   Bollettino della Societ  Paleontologica Italiana  
                   Vol. 38                    # 3                  P.   359-  380"
Eisenackitina sp,Wenlockian,,Czechoslovakia(Bohemia),"  Verniers,J.         Calibration of Chitinozoa versus graptolite biozonation in the Wenlock of Builth Wells district (Wales, U.K), compared with other areas in Avalonia and Baltica.",1999,"Verniers,J.
","Verniers,J.                   (1999)
                  Calibration of Chitinozoa versus graptolite biozonation in the Wenlock of Builth Wells district (Wales, U.K), compared with other areas in Avalonia and Baltica.                   Bollettino della Societ  Paleontologica Italiana  
                   Vol. 38                    # 3                  P.   359-  380"
Eisenackitina sp,Late Caradocian,Early Ashgillian,Saudi Arabia,"  Paris,F. et al.         Ordovician chitinozoans from central Saudi Arabia.",2000,"Paris,F.;Verniers,J.;Al-Hajri,S.
","Paris,F. et al.                   (2000)
                  Ordovician chitinozoans from central Saudi Arabia.                   Stratigraphic Palynology of the Paleozoic of Saudi Arabia.(S.Al-Hajri and B.Owens,editors). Special GeoArabis Publication.  
                                     # 1                  P.    42-   56"
Eisenackitina sp,Late Ordovician,,Nevada,"  Soufiane,A. et al.         Upper Ordovician and Lower Silurian chitinozoans from central Nevada and Arctic Canada.",2000,"Soufiane,A.;Achab,A.
","Soufiane,A. et al.                   (2000)
                  Upper Ordovician and Lower Silurian chitinozoans from central Nevada and Arctic Canada.                   Review of Palaeobotany and Palynology  
                   Vol. 113                    # 3                  P.   165-  187"
Eisenackitina sp,Sheinwoodian,,Belgium,"  Verniers,J. et al.         The chitinozoan biostratigraphy of the Silurian of the RonquiЁres-Monstreux area (Brabant Massif, Belgium)",2002,"Verniers,J.;Grootel,G.Van;Louwye,S.;Diependaele,B.
","Verniers,J. et al.                   (2002)
                  The chitinozoan biostratigraphy of the Silurian of the RonquiЁres-Monstreux area (Brabant Massif, Belgium)                   Review of Palaeobotany and Palynology  
                   Vol. 118                    # 4                  P.   287-  322"
Eisenackitina sp,Late Jurassic,Early Cretaceous,Czech Republic,"  MorЎvek,R.         Ludlowian Chitinozoa from the locality ""Na PozЎrech"" (Silurian, Prague Basin, Barrandian area) - preliminary results",2002,"MorЎvek,R.
","MorЎvek,R.                   (2002)
                  Ludlowian Chitinozoa from the locality ""Na PozЎrech"" (Silurian, Prague Basin, Barrandian area) - preliminary results                   The Stable Czech and Slovak Paleontological Seminary  
                                                      P."
Eisenackitina sp,Late Lochkovian,Early Pragian,Canada(Quebec),"  Lavoie,D. et al.         A new stratigraphic framework for the Gasp© Belt in southern Quebec: Implications for the pre-Acadian Appalachians of eastern Canada.",2004,"Lavoie,D.;Asselin,E.
","Lavoie,D. et al.                   (2004)
                  A new stratigraphic framework for the Gasp© Belt in southern Quebec: Implications for the pre-Acadian Appalachians of eastern Canada.                   Canadian Journal of Earth Sciences  
                   Vol. 41                    # 5                  P.   507-  525"
Eisenackitina sp,Lochkovian,,Canada(New Brunswick),"  Asselin,E. et al.         Biostratigraphic significance of lower Paleozoic microfaunas from eastern Canada.",2004,"Asselin,E.;Achab,A.;Soufiane,A.
","Asselin,E. et al.                   (2004)
                  Biostratigraphic significance of lower Paleozoic microfaunas from eastern Canada.                   Canadian Journal of Earth Sciences  
                   Vol. 41                    # 5                  P.   489-  505"
Eisenackitina sp,Lochkovian,,Canada(Quebec),"  Asselin,E. et al.         Biostratigraphic significance of lower Paleozoic microfaunas from eastern Canada.",2004,"Asselin,E.;Achab,A.;Soufiane,A.
","Asselin,E. et al.                   (2004)
                  Biostratigraphic significance of lower Paleozoic microfaunas from eastern Canada.                   Canadian Journal of Earth Sciences  
                   Vol. 41                    # 5                  P.   489-  505"
