Emphanisporites sp,Siegenian,,France(Manche),"  Doubinger,J.         Palynologic-Planktonic study of some Lower Devonian (Siegenian) samples from the Cotentin.",1963,"Doubinger,J.
","Doubinger,J.                   (1963)
                  Palynologic-Planktonic study of some Lower Devonian (Siegenian) samples from the Cotentin.  [ Etude palyno-Planctologique de quelques Echantillons du Devonien Inferieur (Siegenien) du Cotentin. ]                   Bulletin du Service de la Carte Geologique d'Alsace Lorraine  
                   Vol. 16                    # 4                  P.   261-  273"
Emphanisporites sp,Early Devonian,Middle Devonian,Canada(Gaspe Area),"  McGregor,D.C.         Lower and Middle Devonian spores of eastern Gaspe.",1965,"McGregor,D.C.
","McGregor,D.C.                   (1965)
                  Lower and Middle Devonian spores of eastern Gaspe.                   Geological Survey of Canada  
                                                      P.    76-   77"
Emphanisporites sp,Siegenian,,France(Manche),"  Rauscher,R. et al.         Spores and acritarchs of the Lower Devonian (Siegenian), of Cotentin.",1965,"Rauscher,R.;Doubinger,J.;Manche-Bain,A.
","Rauscher,R. et al.                   (1965)
                  Spores and acritarchs of the Lower Devonian (Siegenian), of Cotentin.  [ Spores et Acritarches du Devonien Inferieur (Siegenien), du Cotentin. ]                   Bulletin du Service de la Carte Geologique d'Alsace Lorraine  
                   Vol. 18                    # 4                  P.   307-  317"
Emphanisporites sp,Givetian,,Australia(Queensland),"  de Jersey,N.J.         Devonian spores from the Adavale Basin",1966,"de Jersey,N.J.
","de Jersey,N.J.                   (1966)
                  Devonian spores from the Adavale Basin                   Geological Survey of Queensland  
                                     # 334                  P.     1-   28"
Emphanisporites sp,Emsian,,Canada(Gaspe Area),"  McGregor,D.C.         Composition and range of some Devonian spore assemblages of Canada",1967,"McGregor,D.C.
","McGregor,D.C.                   (1967)
                  Composition and range of some Devonian spore assemblages of Canada                   Review of Palaeobotany and Palynology  
                   Vol. 1                                     P.   173-  183"
Emphanisporites sp,Downtonian,Dittonian,United Kingdom,"  Richardson,J.B.         Some British Lower Devonian spore assemblages and their stratigraphic significance.",1967,"Richardson,J.B.
","Richardson,J.B.                   (1967)
                  Some British Lower Devonian spore assemblages and their stratigraphic significance.                   Review of Palaeobotany and Palynology  
                   Vol. 1                    # 1                  P.   111-  129"
Emphanisporites sp,Dittonian,,United Kingdom,"  Richardson,J.B.         Some British Lower Devonian spore assemblages and their stratigraphic significance.",1967,"Richardson,J.B.
","Richardson,J.B.                   (1967)
                  Some British Lower Devonian spore assemblages and their stratigraphic significance.                   Review of Palaeobotany and Palynology  
                   Vol. 1                    # 1                  P.   111-  129"
Emphanisporites sp,Neocomian,Aptian,Australia(W.Australia),"  Ingram,B.S.         Palynology of the Otorowiri Siltstone Member, Yarragadee Formation.",1967,"Ingram,B.S.
","Ingram,B.S.                   (1967)
                  Palynology of the Otorowiri Siltstone Member, Yarragadee Formation.                   Geological Survey of Western Australia, Annual Report  
                                                      P.    79-   83"
Emphanisporites sp,Late Eifelian,Early Givetian,Iowa,"  Urban,J.B.         Palynologic studies of the Devonian",1968,"Urban,J.B.
","Urban,J.B.                   (1968)
                  Palynologic studies of the Devonian                   Southwest Center for Advanced Studies,Annual Report.Geoscience Division,1967-1968  
                                                      P.    42-   46"
Emphanisporites sp,Eifelian,,W.Germany(N.Rhine),"  Riegel,W.         The Middle Devonian flora of Lindlar (Rheinland) 2 -Sporae dispersae",1968,"Riegel,W.
","Riegel,W.                   (1968)
                  The Middle Devonian flora of Lindlar (Rheinland) 2 -Sporae dispersae  [ Die Mitteldevon-Flora von Lindlar (Rheinland) 2. Sporae dispersae. ]                   Pal¤eontographica Abteilung B  
                   Vol. 123                    # 1                  P.    76-   96"
Emphanisporites sp,Early Emsian,,Germany(Rhineland),"  Schultz,G.         A Lower Devonian microflora from the Klerf Beds of the Eifel (Rheinisches Schiefergebirge).",1968,"Schultz,G.
","Schultz,G.                   (1968)
                  A Lower Devonian microflora from the Klerf Beds of the Eifel (Rheinisches Schiefergebirge).  [ Eine unterdevonische Mikroflora aus den Klerfer Schichten der Eifel (Rheinisches Schiefergebirge). ]                   Pal¤eontographica Abteilung B  
                   Vol. 123                    # 1                  P.     5-   42"
Emphanisporites sp,Early Devonian,,Scotland(Ayr),"  Downie,C. et al.         The Sandy Creek Beds, (Devonian), of Farland Head, Ayrshire.",1969,"Downie,C.;Lister,T.R.
","Downie,C. et al.                   (1969)
                  The Sandy Creek Beds, (Devonian), of Farland Head, Ayrshire.                   Scottish Journal of Geology  
                   Vol. 5                    # 3                  P.   193-  206"
Emphanisporites sp,Late Ludlovian,,Spain,"  Cramer,F.H.         Consideration on the palynology and Silurian paleolatitudes based on microplankton of the Cantabrian Mountains of the Northwest of Spain.",1969,"Cramer,F.H.
","Cramer,F.H.                   (1969)
                  Consideration on the palynology and Silurian paleolatitudes based on microplankton of the Cantabrian Mountains of the Northwest of Spain.  [ Consideraciones sobre la palinologia y las Paleola Titudes Siluricas a Proposito del microplancton si Lurico de las Montanas Cantabricas del Noroeste de Espana ]                   Comunica§еes dos Servi§os Geolгgicos de Portugal  
                   Vol. 53                                     P.    67-   94"
Emphanisporites sp,Frasnian,,Antarctica,"  Helby,R.J. et al.         Microfloras from the Devonian and Triassic of the Beacon Group, Antarctica.",1969,"Helby,R.J.;McElroy,C.T.
","Helby,R.J. et al.                   (1969)
                  Microfloras from the Devonian and Triassic of the Beacon Group, Antarctica.                   New Zealand Journal of Geology and Geophysics  
                   Vol. 12                    # 2                  P.   376-  382"
Emphanisporites sp,Gedinnian,Tournaisian,Wales,"  Richardson,J.B.         Devonian spores. (In: Aspects of Palynology. R.H. Tschudy and R.A. Scott, editors)",1969,"Richardson,J.B.
","Richardson,J.B.                   (1969)
                  Devonian spores. (In: Aspects of Palynology. R.H. Tschudy and R.A. Scott, editors)                   Aspects of Palynology.(Tschudy,R.H.& Scott,R.A.,editors). John Wiley & Sons, New York  
                                                      P.   193-  222"
Emphanisporites sp,Gedinnian,Tournaisian,Scotland,"  Richardson,J.B.         Devonian spores. (In: Aspects of Palynology. R.H. Tschudy and R.A. Scott, editors)",1969,"Richardson,J.B.
","Richardson,J.B.                   (1969)
                  Devonian spores. (In: Aspects of Palynology. R.H. Tschudy and R.A. Scott, editors)                   Aspects of Palynology.(Tschudy,R.H.& Scott,R.A.,editors). John Wiley & Sons, New York  
                                                      P.   193-  222"
Emphanisporites sp,Gedinnian,Tournaisian,New York,"  Richardson,J.B.         Devonian spores. (In: Aspects of Palynology. R.H. Tschudy and R.A. Scott, editors)",1969,"Richardson,J.B.
","Richardson,J.B.                   (1969)
                  Devonian spores. (In: Aspects of Palynology. R.H. Tschudy and R.A. Scott, editors)                   Aspects of Palynology.(Tschudy,R.H.& Scott,R.A.,editors). John Wiley & Sons, New York  
                                                      P.   193-  222"
