Emphanisporites protophanus,Late Wenlockian,Downtonian,Libya,"  Richardson,J.B. et al.         Silurian palynomorphs from the Tanezzuft and Acacus Formations, Tripolitania, North Africa.",1973,"Richardson,J.B.;Ioannides,N.S.
","Richardson,J.B. et al.                   (1973)
                  Silurian palynomorphs from the Tanezzuft and Acacus Formations, Tripolitania, North Africa.                   Micropaleontology  
                   Vol. 19                    # 3                  P.   257-  307"
Emphanisporites protophanus,Silurian,,Libya,"  Richardson,J.B. et al.         Silurian palynomorphs from the Tanezzuft and Acacus Formations, Tripolitania, North Africa.",1973,"Richardson,J.B.;Ioannides,N.S.
","Richardson,J.B. et al.                   (1973)
                  Silurian palynomorphs from the Tanezzuft and Acacus Formations, Tripolitania, North Africa.                   Micropaleontology  
                   Vol. 19                    # 3                  P.   257-  307"
Emphanisporites protophanus,Wenlockian,Downtonian,Libya,"  Richardson,J.B. et al.         Silurian palynomorphs from the Tanezzuft and Acacus Formations, Tripolitania, North Africa.",1973,"Richardson,J.B.;Ioannides,N.S.
","Richardson,J.B. et al.                   (1973)
                  Silurian palynomorphs from the Tanezzuft and Acacus Formations, Tripolitania, North Africa.                   Micropaleontology  
                   Vol. 19                    # 3                  P.   257-  307"
Emphanisporites protophanus,Ludlovian,Downtonian,Africa(Sahara),"  Richardson,J.B.         The stratigraphic utilization of some Silurian and Devonian miospore species in the Northern Hemisphere.",1974,"Richardson,J.B.
","Richardson,J.B.                   (1974)
                  The stratigraphic utilization of some Silurian and Devonian miospore species in the Northern Hemisphere.                   International Symposium on Namur 1974,Belgian Micropaleontological Limits-Emsian to Visean, Brussels,Sept.1974,Publication No. 9  
                                     # 9                  P.     1-   13"
Emphanisporites protophanus,Ludlovian,,England,"  Richardson,J.B.         The stratigraphic utilization of some Silurian and Devonian miospore species in the Northern Hemisphere.",1974,"Richardson,J.B.
","Richardson,J.B.                   (1974)
                  The stratigraphic utilization of some Silurian and Devonian miospore species in the Northern Hemisphere.                   International Symposium on Namur 1974,Belgian Micropaleontological Limits-Emsian to Visean, Brussels,Sept.1974,Publication No. 9  
                                     # 9                  P.     1-   13"
Emphanisporites protophanus,Ludlovian,,Wales,"  Richardson,J.B.         The stratigraphic utilization of some Silurian and Devonian miospore species in the Northern Hemisphere.",1974,"Richardson,J.B.
","Richardson,J.B.                   (1974)
                  The stratigraphic utilization of some Silurian and Devonian miospore species in the Northern Hemisphere.                   International Symposium on Namur 1974,Belgian Micropaleontological Limits-Emsian to Visean, Brussels,Sept.1974,Publication No. 9  
                                     # 9                  P.     1-   13"
Emphanisporites protophanus,Ludlovian,,Indiana,"  Wood,G.D.         Acritarchs and Trilete spores from the Mississinewa Shale of northern Indiana.",1975,"Wood,G.D.
","Wood,G.D.                   (1975)
                  Acritarchs and Trilete spores from the Mississinewa Shale of northern Indiana.                   Society of Economic Paleontologists and Mineralogists (SEPM). 5th Annual Field Conference.(Great Lakes Sections)  
                                                      P.    91-   94"
Emphanisporites protophanus,Downtonian,,USSR(Estonian SSR),"  Aristova,K.E. et al.         Microfossils of stratigraphic type sections from the Upper Silurian of Estonia.",1976,"Aristova,K.E.;Arkhangelskaya,A.D.
","Aristova,K.E. et al.                   (1976)
                  Microfossils of stratigraphic type sections from the Upper Silurian of Estonia.  [ Mikrofossilii iz stratotipiche Skikh Razrezov Gorizontov verkhnego Silura Estonii. ]                   International Palynological Conference,4th,Results of Palynological Investigation of the Precambrian,The Paleozoic and the Mesozoic of the USSR.Vnigi,(Moscow),Trudy  
                                     # 192                  P.    28-   38"
Emphanisporites protophanus,Ludlovian,,Indiana,"  Wood,G.D. et al.         Silurian, (Ludlovian), Plant Megafossils and Trilete spores from northern Indiana and their bearing on Early land plant evolution",1977,"Wood,G.D.;Erdtmann,B.D.
","Wood,G.D. et al.                   (1977)
                  Silurian, (Ludlovian), Plant Megafossils and Trilete spores from northern Indiana and their bearing on Early land plant evolution                   Geological Society of America, Abstracts with Program, Annual Meeting  
                   Vol. 9                    # 5                  P.   667-  667"
Emphanisporites protophanus,Ludlovian,Dittonian,Spain,"  Rodriguez,R.M.         Miospores of the San Pedro/Furada Formation, Upper Silurian to Lower Devonian, Cantabrian Mountains, Northwest Spain.",1978,"Rodriguez,R.M.
","Rodriguez,R.M.                   (1978)
                  Miospores of the San Pedro/Furada Formation, Upper Silurian to Lower Devonian, Cantabrian Mountains, Northwest Spain.  [ Mioesporas de la Formacion Pedro/Furada (Silurico Superior a Devonico Inferior), Cordillera Cantabrica,No D Espana. ]                   PalinologiЎ, Nкmero extraordinario  
                                     # 1                  P.   407-  433"
Emphanisporites protophanus,Ludlovian,,Indiana,"  Wood,G.D.         Silurian Trilete spores and plant fragments from northern Indiana and their paleobotanical implications.",1978,"Wood,G.D.
","Wood,G.D.                   (1978)
                  Silurian Trilete spores and plant fragments from northern Indiana and their paleobotanical implications.                   Micropaleontology  
                   Vol. 24                    # 3                  P.   327-  331"
Emphanisporites protophanus,Late Ludlovian,,"Canada(NWT,Franklin)","  McGregor,D.C. et al.         Upper Silurian trilete spores and other microfossils from the Read Bay Formation, Cornwallis Island, Canadian Arctic.",1978,"McGregor,D.C.;Narbonne,G.M.
","McGregor,D.C. et al.                   (1978)
                  Upper Silurian trilete spores and other microfossils from the Read Bay Formation, Cornwallis Island, Canadian Arctic.                   Canadian Journal of Earth Sciences  
                   Vol. 15                    # 8                  P.  1292- 1303"
Emphanisporites protophanus,Devonian,,W.Germany(N.Rhine),"  Mittmeyer,H.G.         Preliminary complete list of fossils from the Hunsruck Slates. (In: Petrified Life Under the X-Ray. W.Strumer et al. editors)",1980,"Mittmeyer,H.G.
","Mittmeyer,H.G.                   (1980)
                  Preliminary complete list of fossils from the Hunsruck Slates. (In: Petrified Life Under the X-Ray. W.Strumer et al. editors)  [ Vorlaufige Gesamtliste der Hunsruckschiefer-Fossilien(In-Versteinertes Leben im Rontgenlicht) ]                   Kleine Senckenberg  
                   Vol. 11                                     P.    34-   39"
Emphanisporites protophanus,Gedinnian,Siegenian,Belgium,"  Steemans,P.         Stratigraphical study of the spores in the Gedinnian - Siegenian Transition Beds at Nonceveux and Spa, (Belgium).",1981,"Steemans,P.
","Steemans,P.                   (1981)
                  Stratigraphical study of the spores in the Gedinnian - Siegenian Transition Beds at Nonceveux and Spa, (Belgium).  [ Etude stratigraphique des spores dans les couches de Transition""Gedinnien-Siegenien""A Nonceveux et a Spa(Belgique). ]                   Annales de la Soci©t© G©ologique de Belgique  
                   Vol. 104                                     P.    41-   59"
Emphanisporites protophanus,Nd,,Nd,"  Richardson,J.B. et al.         Acritarchs, miospores and correlation of the Ludlovian - Downtonian and Silurian - Devonian boundaries.",1981,"Richardson,J.B.;Rasul,S.M.;Al-Ameri,T.
","Richardson,J.B. et al.                   (1981)
                  Acritarchs, miospores and correlation of the Ludlovian - Downtonian and Silurian - Devonian boundaries.                   Review of Palaeobotany and Palynology  
                   Vol. 34                                     P.   209-  224"
Emphanisporites protophanus,Late Silurian,,China(Sinkiang Uighur),"  Gao,L.         Devonian spore assemblages of China",1981,"Gao,L.
","Gao,L.                   (1981)
                  Devonian spore assemblages of China                   Review of Palaeobotany and Palynology  
                   Vol. 34                                     P.    11-   23"
Emphanisporites protophanus,Late Siegenian,,W.Germany(Rhineland),"  Schweitzer,H.J.         The Lower Devonian flora of the Rhineland: Part 1.",1983,"Schweitzer,H.J.
","Schweitzer,H.J.                   (1983)
                  The Lower Devonian flora of the Rhineland: Part 1.  [ Die Unterdevonflora des Rheinlandes. 1. Teil. ]                   Pal¤eontographica Abteilung B  
                   Vol. 189                    # 1                  P.     1-  138"
Emphanisporites protophanus,Ludlovian,,Romania,"  Iordan,M. et al.         Litho and biostratigraphy of the Paleozoic Sequences in the Oprisor and Girla Mare Boreholes, (southwestern part of the Moesian Platform).",1985,"Iordan,M.;Iliescu,V.;Visarion,A.;Baltres,A.;Sandulescu,E.;Seiferth,K.
","Iordan,M. et al.                   (1985)
                  Litho and biostratigraphy of the Paleozoic Sequences in the Oprisor and Girla Mare Boreholes, (southwestern part of the Moesian Platform).                   Dari de Seama Institutul de Geologie si Geofizica 4.Stratigrafie  
                   Vol. 49                    # 4                  P.     5-   28"
Emphanisporites protophanus,Homerian,Early Downtonian,Northern Hemisphere,"  Richardson,J.B. et al.         Silurian and Devonian spore zones of the Old Red Sandstone continent and adjacent regions.",1986,"Richardson,J.B.;McGregor,D.C.
","Richardson,J.B. et al.                   (1986)
                  Silurian and Devonian spore zones of the Old Red Sandstone continent and adjacent regions.                   Geological Survey of Canada, Bulletin  
                                     # 364                  P.     1-   79"
Emphanisporites protophanus,Late Homerian,Early Downtonian,Northern Hemisphere,"  Richardson,J.B. et al.         Silurian and Devonian spore zones of the Old Red Sandstone continent and adjacent regions.",1986,"Richardson,J.B.;McGregor,D.C.
","Richardson,J.B. et al.                   (1986)
                  Silurian and Devonian spore zones of the Old Red Sandstone continent and adjacent regions.                   Geological Survey of Canada, Bulletin  
                                     # 364                  P.     1-   79"
Emphanisporites protophanus,Nd,,Libya,"  Richardson,J.B. et al.         Silurian and Devonian spore zones of the Old Red Sandstone continent and adjacent regions.",1986,"Richardson,J.B.;McGregor,D.C.
","Richardson,J.B. et al.                   (1986)
                  Silurian and Devonian spore zones of the Old Red Sandstone continent and adjacent regions.                   Geological Survey of Canada, Bulletin  
                                     # 364                  P.     1-   79"
Emphanisporites protophanus,Nd,,Libya,"  Richardson,J.B. et al.         Silurian and Devonian spore zones of the Old Red Sandstone continent and adjacent regions.",1986,"Richardson,J.B.;McGregor,D.C.
","Richardson,J.B. et al.                   (1986)
                  Silurian and Devonian spore zones of the Old Red Sandstone continent and adjacent regions.                   Geological Survey of Canada, Bulletin  
                                     # 364                  P.     1-   79"
Emphanisporites protophanus,Gedinnian,Siegenian,France(Ardennes),"  Steemans,P.         The study of palynostratigraphy of the Devonian of western Europe.",1986,"Steemans,P.
","Steemans,P.                   (1986)
                  The study of palynostratigraphy of the Devonian of western Europe.  [ Etude palynostratigraphique du Devonien inferieur dans l'ouest de l'Europe ]                   PhD Thesis, Universit© de LiЁge  
                                                      P.     1-  506"
Emphanisporites protophanus,Ludlovian,Downtonian,Africa,"  Kedves,M.         Introduction to the palynology of Pre-Quaternary deposits",1986,"Kedves,M.
","Kedves,M.                   (1986)
                  Introduction to the palynology of Pre-Quaternary deposits                   Studia Biolobica Hungarica  
                   Vol. 20                    # 2                  P.     1-  144"
Emphanisporites protophanus,Ludlovian,Downtonian,England,"  Kedves,M.         Introduction to the palynology of Pre-Quaternary deposits",1986,"Kedves,M.
","Kedves,M.                   (1986)
                  Introduction to the palynology of Pre-Quaternary deposits                   Studia Biolobica Hungarica  
                   Vol. 20                    # 2                  P.     1-  144"
Emphanisporites protophanus,Ludlovian,Downtonian,Wales,"  Kedves,M.         Introduction to the palynology of Pre-Quaternary deposits",1986,"Kedves,M.
","Kedves,M.                   (1986)
                  Introduction to the palynology of Pre-Quaternary deposits                   Studia Biolobica Hungarica  
                   Vol. 20                    # 2                  P.     1-  144"
Emphanisporites protophanus,Early Lochkovian,,USSR(Russian Platform),"  Rzhonsnitskaya,M.A.         Biostratigraphic scheme of the Devonian of the Russian Platform. (In: Devonian of the World: Paleontology, Paleoecology and Biostratigraphy. N.J.McMillan et al, editors)",1988,"Rzhonsnitskaya,M.A.
","Rzhonsnitskaya,M.A.                   (1988)
                  Biostratigraphic scheme of the Devonian of the Russian Platform. (In: Devonian of the World: Paleontology, Paleoecology and Biostratigraphy. N.J.McMillan et al, editors)                   Canadian Society of Petroleum Geologists,Memoir  
                   Vol. 14                    # 3                  P.   691-  701"
Emphanisporites protophanus,Ashgillian,Early Llandoverian,Czechoslovakia,"  VavrdovЎ,M.         New acritarchs and miospores from the Late Ordovician of Hlasna Treban, Czechoslovakia.",1989,"VavrdovЎ,M.
","VavrdovЎ,M.                   (1989)
                  New acritarchs and miospores from the Late Ordovician of Hlasna Treban, Czechoslovakia.  [ Nova Adritarcha a miospory Ze Svrchniho Ordoviku Hlasne Trebane (Ceskoslovensko) ]                   Casopis pro Mineralogii a Geologii  
                   Vol. 34                    # 4                  P.   403-  420"
Emphanisporites protophanus,Wenlockian,Ludlovian,England(Shropshire),"  Bassett,M.G.         The Wenlock Series in the Wenlock area. (In: A Global Standard for the Silurian System. C.H. Holland and M.G.Bassett, editors)",1989,"Bassett,M.G.
","Bassett,M.G.                   (1989)
                  The Wenlock Series in the Wenlock area. (In: A Global Standard for the Silurian System. C.H. Holland and M.G.Bassett, editors)                   National Museum of Wales, Geological Series  
                                     # 10                  P.    51-   73"
Emphanisporites protophanus,Late Wenlockian,Early Ludlovian,Scotland(Tayside),"  Marshall,J.E.A.         Palynology of the Stonehaven Group, Scotland; Evidence for a Mid-Silurian age and its geological implications",1991,"Marshall,J.E.A.
","Marshall,J.E.A.                   (1991)
                  Palynology of the Stonehaven Group, Scotland; Evidence for a Mid-Silurian age and its geological implications                   Geological Magazine  
                   Vol. 128                    # 3                  P.   283-  286"
Emphanisporites protophanus,Nd,,Nd,"  Burgess,N.D. et al.         Silurian Cryptospores and miospores from the type Wenlock area, Shropshire, England.",1991,"Burgess,N.D.;Richardson,J.B.
","Burgess,N.D. et al.                   (1991)
                  Silurian Cryptospores and miospores from the type Wenlock area, Shropshire, England.                   Palaeontology  
                   Vol. 34                    # 3                  P.   601-  628"
Emphanisporites protophanus,Late Homerian,,Czechoslovakia,"  Dufka,P.         Upper Wenlock miospores and cyptospores derived from a Silurian Volcanic Island in the Prague Basin (Barrandian area, Bohemia)",1995,"Dufka,P.
","Dufka,P.                   (1995)
                  Upper Wenlock miospores and cyptospores derived from a Silurian Volcanic Island in the Prague Basin (Barrandian area, Bohemia)                   Journal of Micropalaeontology  
                   Vol. 14                    # 1                  P.    67-   79"
Emphanisporites protophanus,Homerian,,Wales(Glamorgan),"  Burgess,N.D. et al.         Late Wenlock to Early Pridoli cryptospores and miospores from south and southwestern Wales, Great Britain.",1995,"Burgess,N.D.;Richardson,J.B.
","Burgess,N.D. et al.                   (1995)
                  Late Wenlock to Early Pridoli cryptospores and miospores from south and southwestern Wales, Great Britain.                   Pal¤eontographica Abteilung B  
                   Vol. 236                    # 1                  P.     1-   44"
Emphanisporites protophanus,Nd,,Nd,"  Steemans,P. et al.         Ordovician and Silurian cryptospores and miospores from southeastern Turkey.",1996,"Steemans,P.;Le H©riss©,A.;Bozdogan,N.
","Steemans,P. et al.                   (1996)
                  Ordovician and Silurian cryptospores and miospores from southeastern Turkey.                   Review of Palaeobotany and Palynology  
                   Vol. 93                    # 1                  P.    35-   76"
Emphanisporites protophanus,Nd,,Nd,"  Williams,D.M. et al.         Implications of the new microfloral evidence from the Clew Bay complex for Silurian relationships in the Western Irish Caledonides.",1996,"Williams,D.M.;Harkin,J.;Higgs,K.T.
","Williams,D.M. et al.                   (1996)
                  Implications of the new microfloral evidence from the Clew Bay complex for Silurian relationships in the Western Irish Caledonides.                   Journal of the Geological Society, London  
                   Vol. 153                    # 5                  P.   771-  777"
Emphanisporites protophanus,Early Gorstian,,Libya,"  Richardson,J.B.         Paleozoic spores and pollen: Lower and Middle Palaeozoic record of terrestrial palynomorphs. (Principles and Applications. Applications. J.Jansonius and D.C.McGregor, editors.)",1996,"Richardson,J.B.
","Richardson,J.B.                   (1996)
                  Paleozoic spores and pollen: Lower and Middle Palaeozoic record of terrestrial palynomorphs. (Principles and Applications. Applications. J.Jansonius and D.C.McGregor, editors.)                   American Association of Stratigraphic Palynologists:Principles and Applications. Applications (J.Jansonius and D.C.McGregor,Editors)  
                   Vol. 2                                     P.   555-  574"
Emphanisporites protophanus,Gorstian,Early Pridolian,Nd,"  Richardson,J.B.         Paleozoic spores and pollen: Lower and Middle Palaeozoic record of terrestrial palynomorphs. (Principles and Applications. Applications. J.Jansonius and D.C.McGregor, editors.)",1996,"Richardson,J.B.
","Richardson,J.B.                   (1996)
                  Paleozoic spores and pollen: Lower and Middle Palaeozoic record of terrestrial palynomorphs. (Principles and Applications. Applications. J.Jansonius and D.C.McGregor, editors.)                   American Association of Stratigraphic Palynologists:Principles and Applications. Applications (J.Jansonius and D.C.McGregor,Editors)  
                   Vol. 2                                     P.   555-  574"
Emphanisporites protophanus,Borshovian,Chortkovian,USSR(Moscow),"  Alekseev,A.S. et al.         The Devonian and Carboniferous of the Moscow Syneclise (Russian Platform): Stratigraphy and sea-level changes",1996,"Alekseev,A.S.;Kononova,L.I.;Nikishin,A.M.
","Alekseev,A.S. et al.                   (1996)
                  The Devonian and Carboniferous of the Moscow Syneclise (Russian Platform): Stratigraphy and sea-level changes                   Tectonophysics  
                   Vol. 268                    # 1                  P.   149-  168"
Emphanisporites protophanus,Ashgillian,,Iran,"  Ghavidel-Syooki,M.         Acritarch biostratigraphy of the Palaeozoic rock units in the Zagros Basin, Southern Iran. (In: Commision Internationale de microflore du Paleozoique (CIMP) Acritarch Subcommision: O.Fatka and T.Servais, editors)",1996,"Ghavidel-Syooki,M.
","Ghavidel-Syooki,M.                   (1996)
                  Acritarch biostratigraphy of the Palaeozoic rock units in the Zagros Basin, Southern Iran. (In: Commision Internationale de microflore du Paleozoique (CIMP) Acritarch Subcommision: O.Fatka and T.Servais, editors)                   Acta Universitatis Carolinae-Geologica  
                   Vol. 40                    # 3                  P.   385-  411"
Emphanisporites protophanus,Ludlovian,,Saudi Arabia,"  Al-Hajri,S. et al.         Age and palaeoenvironment of the Sharawra Member (Silurian of North-Western Saudi Arabia)",1998,"Al-Hajri,S.;Paris,F.
","Al-Hajri,S. et al.                   (1998)
                  Age and palaeoenvironment of the Sharawra Member (Silurian of North-Western Saudi Arabia)                   Geobios  
                   Vol. 31                    # 1                  P.     3-   12"
Emphanisporites protophanus,Late Pragian,Early Emsian,Portugal,"  Pereira,Z. et al.         Lower Devonian palynomorphs from the Barrancos region, Ossa Morena Zone, Portugal.",1999,"Pereira,Z.;Picarra,J.M.;Oliveira,J.T.
","Pereira,Z. et al.                   (1999)
                  Lower Devonian palynomorphs from the Barrancos region, Ossa Morena Zone, Portugal.                   Bollettino della Societ  Paleontologica Italiana  
                   Vol. 38                    # 3                  P.   239-  245"
Emphanisporites protophanus,Ashgillian,,Belgium,"  Steemans,P.         Ordovician cryptospores from the Oostduinkerke Borehole, Brabant Massif, Belgium.",2001,"Steemans,P.
","Steemans,P.                   (2001)
                  Ordovician cryptospores from the Oostduinkerke Borehole, Brabant Massif, Belgium.                   Geobios  
                   Vol. 34                    # 1                  P.     3-   12"
Emphanisporites protophanus,Late Ludlovian,Early Pridolian,Libya,"  Rubinstein,C.V. et al.         Miospore assemblages from the Silurian - Devonian boundary, in Borehole A1-61, Ghadamis Basin, Libya.",2002,"Rubinstein,C.V.;Steemans,P.
","Rubinstein,C.V. et al.                   (2002)
                  Miospore assemblages from the Silurian - Devonian boundary, in Borehole A1-61, Ghadamis Basin, Libya.                   Review of Palaeobotany and Palynology  
                   Vol. 118                    # 4                  P.   397-  421"
